AgeRange,DeathRate,ConfirmedCases,Date,Days,Deaths,Gender,Hospitalized,ICU,Number of Records,DailyDeaths,DailyCases,DailyHospitalized,DailyICU
Young,0.003058104,1635,3/23/2020,0,5,ambos,232,9,3,0,73,23,3
Young,0.004155125,722,3/23/2020,0,3,hombres,129,5,3,0,38,9,1
Young,0.00219539,911,3/23/2020,0,2,mujeres,103,4,3,0,35,12,2
Adult,0.003875969,8256,3/23/2020,0,32,ambos,1964,144,3,4,753,319,25
Adult,0.005388761,3897,3/23/2020,0,21,hombres,1184,104,3,1,342,169,15
Adult,0.002529899,4348,3/23/2020,0,11,mujeres,831,43,3,3,415,95,6
Elderly,0.084693427,9068,3/23/2020,0,768,ambos,4618,331,3,62,686,543,61
Elderly,0.096540942,5117,3/23/2020,0,494,hombres,2854,240,3,37,377,238,39
Elderly,0.069844507,3923,3/23/2020,0,274,mujeres,1861,104,3,25,334,207,9
Young,0.0029274,1708,3/24/2020,1,5,ambos,255,12,3,0,78,24,3
Young,0.003947368,760,3/24/2020,1,3,hombres,138,6,3,0,17,8,0
Young,0.002114165,946,3/24/2020,1,2,mujeres,115,6,3,0,57,16,0
Adult,0.003996004,9009,3/24/2020,1,36,ambos,2283,169,3,1,583,175,46
Adult,0.005189903,4239,3/24/2020,1,22,hombres,1353,119,3,2,250,107,9
Adult,0.002939324,4763,3/24/2020,1,14,mujeres,926,49,3,-1,330,74,1
Elderly,0.085093295,9754,3/24/2020,1,830,ambos,5161,392,4,46,740,463,160
Elderly,0.096650892,5494,3/24/2020,1,531,hombres,3092,279,4,29,415,298,24
Elderly,0.070237256,4257,3/24/2020,1,299,mujeres,2068,113,4,17,323,206,6
Young,0.002799552,1786,3/25/2020,2,5,ambos,279,15,3,0,623,77,2
Young,0.003861004,777,3/25/2020,2,3,hombres,146,6,3,1,243,47,3
Young,0.001994018,1003,3/25/2020,2,2,mujeres,131,6,3,-1,383,53,2
Adult,0.003857381,9592,3/25/2020,2,37,ambos,2458,215,3,24,4656,1368,105
Adult,0.005346402,4489,3/25/2020,2,24,hombres,1460,128,3,16,2068,812,95
Adult,0.002552523,5093,3/25/2020,2,13,mujeres,1000,50,3,8,2596,597,46
Elderly,0.083476272,10494,3/25/2020,2,876,ambos,5624,552,4,384,5665,3619,242
Elderly,0.094770689,5909,3/25/2020,2,560,hombres,3390,303,4,224,2958,2092,272
Elderly,0.068995633,4580,3/25/2020,2,316,mujeres,2274,119,4,160,2708,1457,100
Young,0.00207555,2409,3/26/2020,3,5,ambos,356,17,3,0,95,21,1
Young,0.003921569,1020,3/26/2020,3,4,hombres,193,9,3,0,43,11,1
Young,0.000721501,1386,3/26/2020,3,1,mujeres,184,8,3,0,52,-13,0
Adult,0.004281303,14248,3/26/2020,3,61,ambos,3826,320,3,0,599,221,25
Adult,0.006100351,6557,3/26/2020,3,40,hombres,2272,223,3,0,275,140,15
Adult,0.002731174,7689,3/26/2020,3,21,mujeres,1597,96,3,0,324,37,10
Elderly,0.077975122,16159,3/26/2020,3,1260,ambos,9243,794,4,41,739,505,80
Elderly,0.088417729,8867,3/26/2020,3,784,hombres,5482,575,4,22,354,264,60
Elderly,0.065312843,7288,3/26/2020,3,476,mujeres,3731,219,4,19,385,269,20
Young,0.001996805,2504,3/27/2020,4,5,ambos,377,18,3,0,87,17,2
Young,0.003762935,1063,3/27/2020,4,4,hombres,204,10,3,0,40,9,1
Young,0.00069541,1438,3/27/2020,4,1,mujeres,171,8,3,0,47,8,1
Adult,0.004108574,14847,3/27/2020,4,61,ambos,4047,345,3,2,902,311,31
Adult,0.005854801,6832,3/27/2020,4,40,hombres,2412,238,3,1,426,182,25
Adult,0.002620741,8013,3/27/2020,4,21,mujeres,1634,106,3,1,476,129,6
Elderly,0.07699136,16898,3/27/2020,4,1301,ambos,9748,874,4,73,967,598,69
Elderly,0.087409175,9221,3/27/2020,4,806,hombres,5746,635,4,41,488,346,50
Elderly,0.064511925,7673,3/27/2020,4,495,mujeres,4000,239,4,32,480,251,19
Young,0.001929757,2591,3/28/2020,5,5,ambos,394,20,3,2,778,162,7
Young,0.003626473,1103,3/28/2020,5,4,hombres,213,11,3,2,275,72,5
Young,0.000673401,1485,3/28/2020,5,1,mujeres,179,9,3,0,499,90,2
Adult,0.004000254,15749,3/28/2020,5,63,ambos,4358,376,3,56,6285,2266,104
Adult,0.005648939,7258,3/28/2020,5,41,hombres,2594,263,3,38,2920,1363,77
